data;valor
08/15/2018;239.09
08/14/2018;233.21
08/13/2018;243.46
08/10/2018;235.24
08/09/2018;223.72
08/08/2018;216.50
08/07/2018;213.62
08/06/2018;209.18
08/03/2018;209.16
08/02/2018;213.55
08/01/2018;213.09
07/31/2018;210.65
07/30/2018;208.73
07/27/2018;207.50
07/26/2018;210.67
07/25/2018;212.13
07/24/2018;218.89
07/23/2018;222.58
07/20/2018;222.04
07/19/2018;233.76
07/18/2018;238.21
07/17/2018;240.40
07/16/2018;241.68
07/13/2018;239.65
07/12/2018;244.36
07/11/2018;247.65
07/10/2018;239.48
07/09/2018;244.38
07/06/2018;248.09
07/05/2018;258.81
07/04/2018;260.82
07/03/2018;260.67
07/02/2018;269.46
06/29/2018;267.98
06/28/2018;262.58
06/27/2018;266.84
06/26/2018;257.86
06/25/2018;258.85
06/22/2018;256.97
06/21/2018;260.27
06/20/2018;264.47
06/19/2018;266.77
06/18/2018;272.19
06/15/2018;266.84
06/14/2018;266.36
06/13/2018;257.94
06/12/2018;260.84
06/11/2018;250.19
06/08/2018;247.23
06/07/2018;252.47
06/06/2018;238.65
06/05/2018;232.67
06/04/2018;227.98
06/01/2018;234.76
05/31/2018;228.28
05/30/2018;215.78
05/29/2018;208.62
05/28/2018;189.83
05/25/2018;189.83
05/24/2018;188.63
05/23/2018;185.66
05/22/2018;190.12
05/21/2018;194.00
05/18/2018;202.15
05/17/2018;192.53
05/16/2018;187.22
05/15/2018;186.27
05/14/2018;183.25
05/11/2018;182.70
05/10/2018;180.73
05/09/2018;191.91
05/08/2018;199.66
05/07/2018;188.52
05/04/2018;181.22
05/03/2018;189.71
05/02/2018;181.73
05/01/2018;175.44
04/30/2018;172.51
04/27/2018;167.39
04/26/2018;169.80
04/25/2018;171.09
04/24/2018;170.08
04/23/2018;168.14
04/20/2018;168.87
04/19/2018;166.19
04/18/2018;163.29
04/17/2018;164.71
04/16/2018;166.91
04/13/2018;167.88
04/12/2018;163.54
04/11/2018;164.47
04/10/2018;165.20
04/09/2018;168.10
04/06/2018;165.66
04/05/2018;160.37
04/04/2018;164.24
04/03/2018;163.01
04/02/2018;164.45
03/30/2018;161.53
03/29/2018;161.53
03/28/2018;164.70
03/27/2018;166.10
03/26/2018;165.33
03/23/2018;170.85
03/22/2018;165.52
03/21/2018;158.37
03/20/2018;161.93
03/19/2018;151.78
03/16/2018;145.44
03/15/2018;145.44
03/14/2018;142.98
03/13/2018;143.48
03/12/2018;142.75
03/09/2018;143.43
03/08/2018;150.70
03/07/2018;150.71
03/06/2018;149.50
03/05/2018;151.21
03/02/2018;155.09
03/01/2018;157.95
02/28/2018;155.58
02/27/2018;153.19
02/26/2018;147.80
02/23/2018;152.63
02/22/2018;155.06
02/21/2018;156.57
02/20/2018;155.57
02/19/2018;150.49
02/16/2018;150.49
02/15/2018;151.25
02/14/2018;161.02
02/13/2018;169.23
02/12/2018;168.27
02/09/2018;175.50
02/08/2018;164.87
02/07/2018;152.77
02/06/2018;151.30
02/05/2018;158.03
02/02/2018;149.37
02/01/2018;143.77
01/31/2018;144.02
01/30/2018;144.50
01/29/2018;143.04
01/26/2018;141.08
01/25/2018;142.02
01/24/2018;143.98
01/23/2018;149.35
01/22/2018;147.43
01/19/2018;148.69
01/18/2018;145.75
01/17/2018;145.26
01/16/2018;144.53
01/15/2018;144.51
01/12/2018;144.51
01/11/2018;144.98
01/10/2018;146.21
01/09/2018;145.00
01/08/2018;144.74
01/05/2018;144.74
01/04/2018;146.46
01/03/2018;150.83
01/02/2018;154.24
01/01/2018;160.27
12/29/2017;160.27
12/28/2017;161.51
12/27/2017;161.47
12/26/2017;161.97
12/25/2017;162.46
12/22/2017;162.46
12/21/2017;162.71
12/20/2017;161.73
12/19/2017;162.25
12/18/2017;161.98
12/15/2017;165.35
12/14/2017;167.31
12/13/2017;163.85
12/12/2017;163.87
12/11/2017;164.86
12/08/2017;164.84
12/07/2017;166.29
12/06/2017;161.42
12/05/2017;160.04
12/04/2017;165.16
12/01/2017;168.75
11/30/2017;170.26
11/29/2017;169.03
11/28/2017;163.92
11/27/2017;165.32
11/24/2017;167.08
